canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method
Fundacao de Amparo a Pesquisa do Estado de Sao Paulo,Sao Paulo Research Foundation,alias_manual,Brazil,,0,4778,4.0sigma+consolidation
Bill and Melinda Gates Foundation,Melinda Gates Foundation,alias,USA,,4661,4661,4.0sigma+consolidation
Bill and Melinda Gates Foundation,BMGF,acronym_manual,USA,,0,4661,4.0sigma+consolidation
Bill and Melinda Gates Foundation,Gates Foundation,alias_manual,USA,,0,4661,4.0sigma+consolidation
National Health and Medical Research Council,NHMRC,acronym,Australia,,4286,4286,4.0sigma+consolidation
Italian Ministry,Italian Ministry,primary,Italy,,4283,4283,4.0sigma+consolidation
China Postdoctoral Science Foundation,China Postdoctoral Science Foundation,primary,China,,4214,4214,4.0sigma+consolidation
National Human Genome Research Institute,National Human Genome Research Institute,primary,USA,National Institutes of Health,2365,3913,4.0sigma+consolidation
National Human Genome Research Institute,NHGRI,acronym,USA,National Institutes of Health,1548,3913,4.0sigma+consolidation
China Scholarship Council,China Scholarship Council,primary,China,,2522,3677,4.0sigma+consolidation
China Scholarship Council,CSC,acronym,China,,1155,3677,4.0sigma+consolidation
Ministry of Science and Technology,MOST,acronym,Taiwan,,3672,3672,4.0sigma+consolidation
Netherlands Organisation for Scientific Research,NWO,acronym,Netherlands,,3634,3634,4.0sigma+consolidation
Netherlands Organisation for Scientific Research,Dutch Research Council,alias_manual,Netherlands,,0,3634,4.0sigma+consolidation
Russian Science Foundation,Russian Science Foundation,primary,Russia,,3632,3632,4.0sigma+consolidation
Russian Science Foundation,RSF,acronym_manual,Russia,,0,3632,4.0sigma+consolidation
Royal Society,Royal Society,primary,UK,,3623,3623,4.0sigma+consolidation
Canadian Institutes of Health Research,CIHR,acronym,Canada,,3454,3454,4.0sigma+consolidation
Natural Environment Research Council,Natural Environment Research Council,primary,UK,UK Research and Innovation,1736,3382,4.0sigma+consolidation
Natural Environment Research Council,NERC,acronym,UK,UK Research and Innovation,1646,3382,4.0sigma+consolidation
National Heart Lung and Blood Institute,NHLBI,acronym,USA,National Institutes of Health,3180,3180,4.0sigma+consolidation
National Heart Lung and Blood Institute,Blood Institute,alias_manual,USA,National Institutes of Health,0,3180,4.0sigma+consolidation
Centre National de la Recherche Scientifique,CNRS,acronym,France,,3019,3019,4.0sigma+consolidation
Research Foundation Flanders,FWO,acronym,Belgium,,2686,2686,4.0sigma+consolidation
National Key Research and Development Program,National Key Research and Development Program,primary,China,,2660,2660,4.0sigma+consolidation
National Science Centre,National Science Centre,primary,Poland,,2583,2583,4.0sigma+consolidation
National Science Centre,NCN,acronym_manual,Poland,,0,2583,4.0sigma+consolidation
American Heart Association,American Heart Association,primary,USA,,2557,2557,4.0sigma+consolidation
American Heart Association,AHA,acronym_manual,USA,,0,2557,4.0sigma+consolidation
Department of Biotechnology,DBT,acronym,India,,2402,2402,4.0sigma+consolidation
Japan Science and Technology Agency,JST,acronym,Japan,,2363,2363,4.0sigma+consolidation
Max Planck Society,Max Planck Society,primary,Germany,,2232,2232,4.0sigma+consolidation
Max Planck Society,Max Planck,alias_manual,Germany,,0,2232,4.0sigma+consolidation
Max Planck Society,MPG,acronym_manual,Germany,,0,2232,4.0sigma+consolidation
Czech Science Foundation,Czech Science Foundation,primary,Czech Republic,,2130,2130,4.0sigma+consolidation
Czech Science Foundation,GACR,acronym_manual,Czech Republic,,0,2130,4.0sigma+consolidation
UK Research and Innovation,UKRI,acronym,UK,,2069,2069,4.0sigma+consolidation
Associazione Italiana per la Ricerca sul Cancro,AIRC,acronym,Italy,,2000,2000,4.0sigma+consolidation
